genome_id	genus	species	source_type
LABG_000377	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000378	Lacticaseibacillus	Lacticaseibacillus rhamnosus	other
LABG_000379	Lactobacillus	Lactobacillus paragasseri	other
LABG_000380	Limosilactobacillus	Limosilactobacillus vaginalis	other
LABG_000381	Limosilactobacillus	Limosilactobacillus fermentum	other
LABG_000382	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000383	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000384	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000385	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000386	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000387	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000388	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000389	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000390	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000391	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000392	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000393	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000394	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000395	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000396	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000397	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000398	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000399	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000400	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000401	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000402	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000403	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000404	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000405	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000406	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000407	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000408	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000409	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000410	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000411	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000412	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000413	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000414	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000415	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000416	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000417	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000418	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000419	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000420	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000421	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000422	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000423	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000424	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000425	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000426	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000427	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000428	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000429	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000430	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000431	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000432	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000433	Ligilactobacillus	Ligilactobacillus animalis	animal
LABG_000434	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000435	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000436	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000437	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000438	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000439	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000440	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000441	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000442	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000443	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000444	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000445	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000446	Ligilactobacillus	Ligilactobacillus agilis	animal
LABG_000447	Pediococcus	Pediococcus pentosaceus	animal
LABG_000448	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000449	Ligilactobacillus	Ligilactobacillus animalis	animal
