genus	species	source_type	ARG_negative_n	ARG_positive_n	source_n	ARG_positive_rate	fdr	significant	max_rate_difference
Leuconostoc	Leuconostoc gasicomitatum	food	36	0	36	0	1	FALSE	0
Leuconostoc	Leuconostoc gasicomitatum	other	8	0	8	0	1	FALSE	0
Leuconostoc	Leuconostoc lactis	human	48	1	49	0.02040816326530612	1	FALSE	0.02040816326530612
Leuconostoc	Leuconostoc lactis	food	53	1	54	0.018518518518518517	1	FALSE	0.02040816326530612
Leuconostoc	Leuconostoc lactis	other	6	0	6	0	1	FALSE	0.02040816326530612
Leuconostoc	Leuconostoc mesenteroides	animal	44	7	51	0.13725490196078433	4.0899132618040093e-4	TRUE	0.13725490196078433
Leuconostoc	Leuconostoc mesenteroides	human	21	0	21	0	4.0899132618040093e-4	TRUE	0.13725490196078433
Leuconostoc	Leuconostoc mesenteroides	food	423	4	427	0.00936768149882904	4.0899132618040093e-4	TRUE	0.13725490196078433
Leuconostoc	Leuconostoc mesenteroides	other	53	3	56	0.05357142857142857	4.0899132618040093e-4	TRUE	0.13725490196078433
Leuconostoc	Leuconostoc pseudomesenteroides	food	107	1	108	0.009259259259259259	1	FALSE	0.009259259259259259
Leuconostoc	Leuconostoc pseudomesenteroides	other	6	0	6	0	1	FALSE	0.009259259259259259
Leuconostoc	Leuconostoc suionicum	food	44	0	44	0	0.012669683257918549	TRUE	0.375
Leuconostoc	Leuconostoc suionicum	other	5	3	8	0.375	0.012669683257918549	TRUE	0.375
Levilactobacillus	Levilactobacillus brevis	animal	16	1	17	0.058823529411764705	1	FALSE	0.058823529411764705
Levilactobacillus	Levilactobacillus brevis	human	53	1	54	0.018518518518518517	1	FALSE	0.058823529411764705
Levilactobacillus	Levilactobacillus brevis	food	228	10	238	0.04201680672268908	1	FALSE	0.058823529411764705
Levilactobacillus	Levilactobacillus brevis	other	34	0	34	0	1	FALSE	0.058823529411764705
Ligilactobacillus	Ligilactobacillus acidipiscis	food	14	0	14	0	1	FALSE	0
Ligilactobacillus	Ligilactobacillus acidipiscis	other	5	0	5	0	1	FALSE	0
Ligilactobacillus	Ligilactobacillus agilis	animal	150	28	178	0.15730337078651685	0.177863876562375	FALSE	0.4
Ligilactobacillus	Ligilactobacillus agilis	human	13	6	19	0.3157894736842105	0.177863876562375	FALSE	0.4
Ligilactobacillus	Ligilactobacillus agilis	food	7	0	7	0	0.177863876562375	FALSE	0.4
Ligilactobacillus	Ligilactobacillus agilis	other	6	4	10	0.4	0.177863876562375	FALSE	0.4
Ligilactobacillus	Ligilactobacillus animalis	animal	12	10	22	0.45454545454545453	1	FALSE	0.09090909090909088
Ligilactobacillus	Ligilactobacillus animalis	human	38	34	72	0.4722222222222222	1	FALSE	0.09090909090909088
Ligilactobacillus	Ligilactobacillus animalis	food	5	6	11	0.5454545454545454	1	FALSE	0.09090909090909088
Ligilactobacillus	Ligilactobacillus aviarius_C	animal	55	11	66	0.16666666666666666	0.8476546550633474	FALSE	0.16666666666666666
Ligilactobacillus	Ligilactobacillus aviarius_C	other	11	0	11	0	0.8476546550633474	FALSE	0.16666666666666666
Ligilactobacillus	Ligilactobacillus murinus	animal	366	9	375	0.024	0.6480608335289949	FALSE	0.024
Ligilactobacillus	Ligilactobacillus murinus	human	6	0	6	0	0.6480608335289949	FALSE	0.024
Ligilactobacillus	Ligilactobacillus murinus	food	7	0	7	0	0.6480608335289949	FALSE	0.024
Ligilactobacillus	Ligilactobacillus murinus	other	784	8	792	0.010101010101010102	0.6480608335289949	FALSE	0.024
Ligilactobacillus	Ligilactobacillus ruminis	animal	35	22	57	0.38596491228070173	4.660053722752548e-5	TRUE	0.2644110275689223
Ligilactobacillus	Ligilactobacillus ruminis	human	701	97	798	0.12155388471177944	4.660053722752548e-5	TRUE	0.2644110275689223
Ligilactobacillus	Ligilactobacillus ruminis	other	50	7	57	0.12280701754385964	4.660053722752548e-5	TRUE	0.2644110275689223
Ligilactobacillus	Ligilactobacillus saerimneri	animal	9	3	12	0.25	1	FALSE	0.04999999999999999
Ligilactobacillus	Ligilactobacillus saerimneri	other	4	1	5	0.2	1	FALSE	0.04999999999999999
Ligilactobacillus	Ligilactobacillus salivarius	animal	152	209	361	0.5789473684210527	1.9792160640265878e-42	TRUE	0.4630783507888108
Ligilactobacillus	Ligilactobacillus salivarius	human	351	46	397	0.11586901763224182	1.9792160640265878e-42	TRUE	0.4630783507888108
Ligilactobacillus	Ligilactobacillus salivarius	food	7	7	14	0.5	1.9792160640265878e-42	TRUE	0.4630783507888108
Ligilactobacillus	Ligilactobacillus salivarius	other	68	16	84	0.19047619047619047	1.9792160640265878e-42	TRUE	0.4630783507888108
Limosilactobacillus	Limosilactobacillus fermentum	animal	17	0	17	0	0.23097549260421305	FALSE	0.027450980392156862
Limosilactobacillus	Limosilactobacillus fermentum	human	440	2	442	0.004524886877828055	0.23097549260421305	FALSE	0.027450980392156862
Limosilactobacillus	Limosilactobacillus fermentum	food	248	7	255	0.027450980392156862	0.23097549260421305	FALSE	0.027450980392156862
Limosilactobacillus	Limosilactobacillus fermentum	other	71	1	72	0.013888888888888888	0.23097549260421305	FALSE	0.027450980392156862
Limosilactobacillus	Limosilactobacillus ingluviei	animal	93	10	103	0.0970873786407767	0.6480608335289949	FALSE	0.2857142857142857
Limosilactobacillus	Limosilactobacillus ingluviei	human	5	0	5	0	0.6480608335289949	FALSE	0.2857142857142857
Limosilactobacillus	Limosilactobacillus ingluviei	other	5	2	7	0.2857142857142857	0.6480608335289949	FALSE	0.2857142857142857
Limosilactobacillus	Limosilactobacillus intestinavium	animal	23	1	24	0.041666666666666664	1	FALSE	0.041666666666666664
Limosilactobacillus	Limosilactobacillus intestinavium	human	9	0	9	0	1	FALSE	0.041666666666666664
Limosilactobacillus	Limosilactobacillus mucosae	animal	87	10	97	0.10309278350515463	0.004136824009632806	TRUE	0.2569659442724458
Limosilactobacillus	Limosilactobacillus mucosae	human	227	18	245	0.07346938775510205	0.004136824009632806	TRUE	0.2569659442724458
Limosilactobacillus	Limosilactobacillus mucosae	food	26	12	38	0.3157894736842105	0.004136824009632806	TRUE	0.2569659442724458
Limosilactobacillus	Limosilactobacillus mucosae	other	32	2	34	0.058823529411764705	0.004136824009632806	TRUE	0.2569659442724458
Limosilactobacillus	Limosilactobacillus oris	human	52	0	52	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus oris	other	6	0	6	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus oris_A	animal	77	18	95	0.18947368421052632	1	FALSE	0.2
Limosilactobacillus	Limosilactobacillus oris_A	human	6	0	6	0	1	FALSE	0.2
Limosilactobacillus	Limosilactobacillus oris_A	food	4	1	5	0.2	1	FALSE	0.2
Limosilactobacillus	Limosilactobacillus pulli	animal	27	2	29	0.06896551724137931	1	FALSE	0.14285714285714285
Limosilactobacillus	Limosilactobacillus pulli	food	7	0	7	0	1	FALSE	0.14285714285714285
Limosilactobacillus	Limosilactobacillus pulli	other	6	1	7	0.14285714285714285	1	FALSE	0.14285714285714285
Limosilactobacillus	Limosilactobacillus reuteri	animal	57	56	113	0.49557522123893805	1.3356548105325457e-19	TRUE	0.4610924626182484
Limosilactobacillus	Limosilactobacillus reuteri	human	105	5	110	0.045454545454545456	1.3356548105325457e-19	TRUE	0.4610924626182484
Limosilactobacillus	Limosilactobacillus reuteri	food	56	2	58	0.034482758620689655	1.3356548105325457e-19	TRUE	0.4610924626182484
Limosilactobacillus	Limosilactobacillus reuteri	other	51	2	53	0.03773584905660377	1.3356548105325457e-19	TRUE	0.4610924626182484
Limosilactobacillus	Limosilactobacillus reuteri_E	animal	114	58	172	0.3372093023255814	1	FALSE	0.11733615221987315
Limosilactobacillus	Limosilactobacillus reuteri_E	human	34	19	53	0.3584905660377358	1	FALSE	0.11733615221987315
Limosilactobacillus	Limosilactobacillus reuteri_E	food	6	5	11	0.45454545454545453	1	FALSE	0.11733615221987315
Limosilactobacillus	Limosilactobacillus reuteri_E	other	21	11	32	0.34375	1	FALSE	0.11733615221987315
Limosilactobacillus	Limosilactobacillus reuteri_G	animal	16	0	16	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus reuteri_G	food	13	0	13	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus reuteri_G	other	8	0	8	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus reuteri_I	animal	70	67	137	0.48905109489051096	3.582518003423311e-14	TRUE	0.48905109489051096
Limosilactobacillus	Limosilactobacillus reuteri_I	human	13	0	13	0	3.582518003423311e-14	TRUE	0.48905109489051096
Limosilactobacillus	Limosilactobacillus reuteri_I	food	4	1	5	0.2	3.582518003423311e-14	TRUE	0.48905109489051096
Limosilactobacillus	Limosilactobacillus reuteri_I	other	77	2	79	0.02531645569620253	3.582518003423311e-14	TRUE	0.48905109489051096
